,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
ViewSonic-ViewBook-730_id5626,3,133,480,0,800,208,5,,,14.1,,132.8
LAVA-M30_id6144,,182,320,2,240,,,225,5.00,,,
BLU-Dash-L2_id10153,1,233,800,0,480,127,5,,,11.7,,64.5
LAVA-KKT-16_id6574,,114,176,0,144,,,,,,,
NEC-Terrain_id7910,1,258,640,1,480,128,1,348,10.00,14,172,65
GIGABYTE-GSmart-Alto-A2_id8230,1,196,854,0,480,146,1,150,3.50,9.3,,70.6
LG-KB770_id3142,,155,400,0,240,108,,300,4.00,13.2,109,53.9
Celkon-Millennia-Hero_id9573,1,233,800,0,480,125,1,,,11,113,64
LG-Optimus-2X_id5021,1,233,800,0,480,123.9,5,400,7.83,10.9,139,63.2
Spice-Mobile-Stellar-516_id9194,1,196,854,0,480,143.7,1,192,4.00,9.6,180,72.5
Yezz-Andy-5EL-LTE_id9523,1,196,854,0,480,143.7,1,,,9.4,158,72.8
Karbonn-Titanium-S1-Plus_id9254,1,235,800,0,480,124,1,220,3.50,10.3,,64
Samsung-SPH-A400_id89,,,128,,128,89,,200,3.00,20,99,51
Verizon-Wireless-Escapade_id3651,,141,220,0,176,99,,316,3.76,23,96,48
Samsung-Galaxy-Rugby-Pro_id7516,1,233,800,0,480,128,1,288,11.00,13,130,69
Motorola-i570_id2482,,,130,,130,93,,75,4.08,25.4,95,50
ZTE-Grand-X-LTE_id7188,1,256,960,3,540,130.9,1,300,6.50,11.2,151,65
Sony-Ericsson-W508_id3363,,182,320,2,240,93.5,,400,10.00,14,98,50
Zen-Mobile-Ultrafone-501_id7966,1,,,0,,,5,170,6.00,,,
Motorola-i710_id898,,,130,,130,93,,75,2.75,27,143,51
Samsung-SGH-F250_id2424,,102,160,0,128,94,,250,3.30,17.5,96,46
Nokia-2228_id3232,,,160,,128,110,,240,3.50,12,72,40
Fly-Ion-DS104D_id9228,3,116,160,8,128,112.3,,,2.50,13,67,47
Alcatel-OT-203A_id4377,,121,128,5,128,,,350,7.00,,60,
Samsung-SGH-C275_id4622,,,128,,128,88,,144,2.50,19.8,74,45
Nokia-Lumia-635_id8572,1,218,854,5,480,129.5,5,648,12.00,9.2,134,66.7
HTC-One-mini-2_id8378,1,326,1280,5,720,137.43,5,,,10.6,137,65.04
Sony-Ericsson-Xperia-duo_id5654,2,,,,,,,,,,,
HTC-Titan-II_id6819,2,199,800,7,480,132,5,293,4.30,13,147,69
ZTE-Axon-7_id10068,1,534,2560,5,1440,151.7,4,360,16.00,7.9,175,75
Karbonn-K-280_id5841,,141,220,0,176,111.5,,400,3.00,14,,48
BLU-Life-Play-X_id8318,1,312,1280,7,720,137,1,780,18.00,7.9,125,68.4
Micromax-Canvas-Sliver-5_id9692,1,306,1280,8,720,,2,345,8.00,,97,
Celkon-A88_id7307,3,165,480,5,320,116,,500,6.66,13.2,,60.5
Panasonic-X300_id781,,,128,,128,92,,260,11.00,21,87,49
LG-Flare_id2685,,,160,,128,90,,170,3.50,20,77,47
Microsoft-Surface-3_id9538,1,214,1280,8,1920,267,2,,,8.7,621,187
Celkon-Q5K-Transformer_id9952,1,196,854,0,480,,1,,,,,
Samsung-Freeform-4_id7301,3,167,240,4,320,110,,264,4.00,11,95,61
ICEMOBILE-Flurry_id6235,,182,240,2,320,106,,480,6.00,12.9,93,60
LG-KP105_id3410,,,128,,128,101,,400,4.00,12.9,60,45.4
i-mobile-S551_id6301,,165,480,5,320,116,,240,4.00,10.5,,62.5
Zen-Mobile-M111_id6192,,167,320,4,240,,,280,5.00,,,
Celkon-A63_id8122,1,233,800,0,480,,5,,,,,
